( fax: [
    customer_id("ALFKI"), "030-0076545";
    customer_id("ANATR"), "(5) 555-3745";
    customer_id("ANTON"), "";
    customer_id("AROUT"), "(171) 555-6750";
    customer_id("BERGS"), "0921-12 34 67";
    customer_id("BLAUS"), "0621-08924";
    customer_id("BLONP"), "88.60.15.32";
    customer_id("BOLID"), "(91) 555 91 99";
    customer_id("BONAP"), "91.24.45.41";
    customer_id("BOTTM"), "(604) 555-3745";
    customer_id("BSBEV"), "";
    customer_id("CACTU"), "(1) 135-4892";
    customer_id("CENTC"), "(5) 555-7293";
    customer_id("CHOPS"), "";
    customer_id("COMMI"), "";
    customer_id("CONSH"), "(171) 555-9199";
    customer_id("DRACD"), "0241-059428";
    customer_id("DUMON"), "40.67.89.89";
    customer_id("EASTC"), "(171) 555-3373";
    customer_id("ERNSH"), "7675-3426";
    customer_id("FAMIA"), "";
    customer_id("FISSA"), "(91) 555 55 93";
    customer_id("FOLIG"), "20.16.10.17";
    customer_id("FOLKO"), "";
    customer_id("FRANK"), "089-0877451";
    customer_id("FRANR"), "40.32.21.20";
    customer_id("FRANS"), "011-4988261";
    customer_id("FURIB"), "(1) 354-2535";
    customer_id("GALED"), "(93) 203 4561";
    customer_id("GODOS"), "";
    customer_id("GOURL"), "";
    customer_id("GREAL"), "";
    customer_id("GROSR"), "(2) 283-3397";
    customer_id("HANAR"), "(21) 555-8765";
    customer_id("HILAA"), "(5) 555-1948";
    customer_id("HUNGC"), "(503) 555-2376";
    customer_id("HUNGO"), "2967 3333";
    customer_id("ISLAT"), "";
    customer_id("KOENE"), "";
    customer_id("LACOR"), "30.59.85.11";
    customer_id("LAMAI"), "61.77.61.11";
    customer_id("LAUGB"), "(604) 555-7293";
    customer_id("LAZYK"), "(509) 555-6221";
    customer_id("LEHMS"), "069-0245874";
    customer_id("LETSS"), "";
    customer_id("LILAS"), "(9) 331-7256";
    customer_id("LINOD"), "(8) 34-93-93";
    customer_id("LONEP"), "(503) 555-9646";
    customer_id("MAGAA"), "035-640231";
    customer_id("MAISD"), "(02) 201 24 68";
    customer_id("MEREP"), "(514) 555-8055";
    customer_id("MORGK"), "";
    customer_id("NORTS"), "(171) 555-2530";
    customer_id("OCEAN"), "(1) 135-5535";
    customer_id("OLDWO"), "(907) 555-2880";
    customer_id("OTTIK"), "0221-0765721";
    customer_id("PARIS"), "(1) 42.34.22.77";
    customer_id("PERIC"), "(5) 545-3745";
    customer_id("PICCO"), "6562-9723";
    customer_id("PRINI"), "";
    customer_id("QUEDE"), "(21) 555-4545";
    customer_id("QUEEN"), "";
    customer_id("QUICK"), "";
    customer_id("RANCH"), "(1) 123-5556";
    customer_id("RATTC"), "(505) 555-3620";
    customer_id("REGGC"), "0522-556722";
    customer_id("RICAR"), "";
    customer_id("RICSU"), "";
    customer_id("ROMEY"), "(91) 745 6210";
    customer_id("SANTG"), "07-98 92 47";
    customer_id("SAVEA"), "";
    customer_id("SEVES"), "(171) 555-5646";
    customer_id("SIMOB"), "31 13 35 57";
    customer_id("SPECD"), "(1) 47.55.60.20";
    customer_id("SPLIR"), "(307) 555-6525";
    customer_id("SUPRD"), "(071) 23 67 22 21";
    customer_id("THEBI"), "";
    customer_id("THECR"), "(406) 555-8083";
    customer_id("TOMSP"), "0251-035695";
    customer_id("TORTU"), "";
    customer_id("TRADH"), "(11) 555-2168";
    customer_id("TRAIH"), "(206) 555-2174";
    customer_id("VAFFE"), "86 22 33 44";
    customer_id("VICTE"), "78.32.54.87";
    customer_id("VINET"), "26.47.15.11";
    customer_id("WANDK"), "0711-035428";
    customer_id("WARTH"), "981-443655";
    customer_id("WELLI"), "";
    customer_id("WHITC"), "(206) 555-4115";
    customer_id("WILMK"), "90-224 8858";
    customer_id("WOLZA"), "(26) 642-7012";
    supplier_id(1), "";
    supplier_id(2), "";
    supplier_id(3), "(313) 555-3349";
    supplier_id(4), "";
    supplier_id(5), "";
    supplier_id(6), "";
    supplier_id(7), "(03) 444-6588";
    supplier_id(8), "";
    supplier_id(9), "031-987 65 91";
    supplier_id(10), "";
    supplier_id(11), "";
    supplier_id(12), "";
    supplier_id(13), "(04721) 8714";
    supplier_id(14), "(0544) 60603";
    supplier_id(15), "";
    supplier_id(16), "";
    supplier_id(17), "";
    supplier_id(18), "(1) 03.83.00.62";
    supplier_id(19), "(617) 555-3389";
    supplier_id(20), "";
    supplier_id(21), "43844115";
    supplier_id(22), "(12345) 1210";
    supplier_id(23), "";
    supplier_id(24), "(02) 555-4873";
    supplier_id(25), "";
    supplier_id(26), "(089) 6547667";
    supplier_id(27), "";
    supplier_id(28), "38.76.98.58";
    supplier_id(29), "(514) 555-2921"
  ],
  city: [
    customer_id("ALFKI") -> "Berlin",
    customer_id("ANATR") -> "Mxico D.F.",
    customer_id("ANTON") -> "Mxico D.F.",
    customer_id("AROUT") -> "London",
    customer_id("BERGS") -> "Lule",
    customer_id("BLAUS") -> "Mannheim",
    customer_id("BLONP") -> "Strasbourg",
    customer_id("BOLID") -> "Madrid",
    customer_id("BONAP") -> "Marseille",
    customer_id("BOTTM") -> "Tsawassen",
    customer_id("BSBEV") -> "London",
    customer_id("CACTU") -> "Buenos Aires",
    customer_id("CENTC") -> "Mxico D.F.",
    customer_id("CHOPS") -> "Bern",
    customer_id("COMMI") -> "Sao Paulo",
    customer_id("CONSH") -> "London",
    customer_id("DRACD") -> "Aachen",
    customer_id("DUMON") -> "Nantes",
    customer_id("EASTC") -> "London",
    customer_id("ERNSH") -> "Graz",
    customer_id("FAMIA") -> "Sao Paulo",
    customer_id("FISSA") -> "Madrid",
    customer_id("FOLIG") -> "Lille",
    customer_id("FOLKO") -> "Brcke",
    customer_id("FRANK") -> "Mnchen",
    customer_id("FRANR") -> "Nantes",
    customer_id("FRANS") -> "Torino",
    customer_id("FURIB") -> "Lisboa",
    customer_id("GALED") -> "Barcelona",
    customer_id("GODOS") -> "Sevilla",
    customer_id("GOURL") -> "Campinas",
    customer_id("GREAL") -> "Eugene",
    customer_id("GROSR") -> "Caracas",
    customer_id("HANAR") -> "Rio de Janeiro",
    customer_id("HILAA") -> "San Cristbal",
    customer_id("HUNGC") -> "Elgin",
    customer_id("HUNGO") -> "Cork",
    customer_id("ISLAT") -> "Cowes",
    customer_id("KOENE") -> "Brandenburg",
    customer_id("LACOR") -> "Versailles",
    customer_id("LAMAI") -> "Toulouse",
    customer_id("LAUGB") -> "Vancouver",
    customer_id("LAZYK") -> "Walla Walla",
    customer_id("LEHMS") -> "Frankfurt a.M.",
    customer_id("LETSS") -> "San Francisco",
    customer_id("LILAS") -> "Barquisimeto",
    customer_id("LINOD") -> "I. de Margarita",
    customer_id("LONEP") -> "Portland",
    customer_id("MAGAA") -> "Bergamo",
    customer_id("MAISD") -> "Bruxelles",
    customer_id("MEREP") -> "Montral",
    customer_id("MORGK") -> "Leipzig",
    customer_id("NORTS") -> "London",
    customer_id("OCEAN") -> "Buenos Aires",
    customer_id("OLDWO") -> "Anchorage",
    customer_id("OTTIK") -> "Kln",
    customer_id("PARIS") -> "Paris",
    customer_id("PERIC") -> "Mxico D.F.",
    customer_id("PICCO") -> "Salzburg",
    customer_id("PRINI") -> "Lisboa",
    customer_id("QUEDE") -> "Rio de Janeiro",
    customer_id("QUEEN") -> "Sao Paulo",
    customer_id("QUICK") -> "Cunewalde",
    customer_id("RANCH") -> "Buenos Aires",
    customer_id("RATTC") -> "Albuquerque",
    customer_id("REGGC") -> "Reggio Emilia",
    customer_id("RICAR") -> "Rio de Janeiro",
    customer_id("RICSU") -> "Genve",
    customer_id("ROMEY") -> "Madrid",
    customer_id("SANTG") -> "Stavern",
    customer_id("SAVEA") -> "Boise",
    customer_id("SEVES") -> "London",
    customer_id("SIMOB") -> "Kobenhavn",
    customer_id("SPECD") -> "Paris",
    customer_id("SPLIR") -> "Lander",
